Date,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department
2020/4/1,RJN,NHS ENGLAND NORTH WEST,EAST CHESHIRE NHS TRUST,2252,0,0
2020/4/1,RNA,NHS ENGLAND MIDLANDS,THE DUDLEY GROUP NHS FOUNDATION TRUST,4600,0,1879
2020/4/1,RGN,NHS ENGLAND EAST OF ENGLAND,NORTH WEST ANGLIA NHS FOUNDATION TRUST,7297,0,21
2020/4/1,Y02676,NHS ENGLAND SOUTH EAST,BRIGHTON STATION HEALTH CENTRE,0,0,501
2020/4/1,RY4,NHS ENGLAND EAST OF ENGLAND,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,492
2020/4/1,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,1630
2020/4/1,Y02428,NHS ENGLAND EAST OF ENGLAND,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,148
2020/4/1,DT301,NHS ENGLAND EAST OF ENGLAND,HERTS URGENT CARE (ASCOTS LANE),0,0,872
2020/4/1,NQ106,NHS ENGLAND EAST OF ENGLAND,FRYATT HOSPITAL,0,0,71
2020/4/1,RVY,NHS ENGLAND NORTH WEST,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,3406,0,903
2020/4/1,Y04538,NHS ENGLAND SOUTH EAST,BRACKNELL URGENT CARE CENTRE WIC,0,0,1023
2020/4/1,RBT,NHS ENGLAND NORTH WEST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,3863,0,480
2020/4/1,ARN02,NHS ENGLAND NORTH EAST AND YORKSHIRE,ST.GEORGE'S CENTRE,0,0,1012
2020/4/1,NQ108,NHS ENGLAND EAST OF ENGLAND,CLACTON HOSPITAL,0,0,810
2020/4/1,RN5,NHS ENGLAND SOUTH EAST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,7092,0,40
2020/4/1,RTP,NHS ENGLAND SOUTH EAST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,4769,0,211
2020/4/1,C83023,NHS ENGLAND MIDLANDS,SLEAFORD MEDICAL GROUP,0,0,92
2020/4/1,RL4,NHS ENGLAND MIDLANDS,THE ROYAL WOLVERHAMPTON NHS TRUST,6049,0,1087
2020/4/1,RBV,NHS ENGLAND NORTH WEST,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0
2020/4/1,RJC,NHS ENGLAND MIDLANDS,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,2985,0,29
2020/4/1,AXG,NHS ENGLAND SOUTH WEST,WILTSHIRE HEALTH & CARE,0,0,244
2020/4/1,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0
2020/4/1,RW4,NHS ENGLAND NORTH WEST,MERSEY CARE NHS FOUNDATION TRUST,0,0,519
2020/4/1,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,2615
2020/4/1,RGP,NHS ENGLAND EAST OF ENGLAND,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3682,0,5
2020/4/1,RN7,NHS ENGLAND SOUTH EAST,DARTFORD AND GRAVESHAM NHS TRUST,4909,0,631
2020/4/1,NQT10,NHS ENGLAND SOUTH EAST,ASSURA READING LLP,0,0,14
2020/4/1,RRK,NHS ENGLAND MIDLANDS,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,14481,0,4083
2020/4/1,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,5047,0,3697
2020/4/1,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,2858,0,2079
2020/4/1,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,5438,465,1418
2020/4/1,RXK,NHS ENGLAND MIDLANDS,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,6127,522,514
2020/4/1,RBK,NHS ENGLAND MIDLANDS,WALSALL HEALTHCARE NHS TRUST,3746,0,1160
2020/4/1,RTK,NHS ENGLAND SOUTH EAST,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,4663,0,0
2020/4/1,RY2,NHS ENGLAND NORTH WEST,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,1395
2020/4/1,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,1839,0,0
2020/4/1,RET,NHS ENGLAND NORTH WEST,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0
2020/4/1,RH8,NHS ENGLAND SOUTH WEST,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,4008,0,716
2020/4/1,RJR,NHS ENGLAND NORTH WEST,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,3324,0,244
2020/4/1,RVJ,NHS ENGLAND SOUTH WEST,NORTH BRISTOL NHS TRUST,4127,0,0
2020/4/1,RY7,NHS ENGLAND NORTH WEST,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,727
2020/4/1,NTPAD,NHS ENGLAND SOUTH EAST,ST MARY'S NHS TREATMENT CENTRE,0,0,1859
2020/4/1,RNQ,NHS ENGLAND MIDLANDS,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,4464,0,0
2020/4/1,RDZ,NHS ENGLAND SOUTH WEST,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,3668,765,73
2020/4/1,RMP,NHS ENGLAND NORTH WEST,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,4482,0,324
2020/4/1,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,2156,0,231
2020/4/1,RRF,NHS ENGLAND NORTH WEST,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",4499,0,1560
2020/4/1,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE,GATESHEAD HEALTH NHS FOUNDATION TRUST,4095,0,0
2020/4/1,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,6049,406,1822
2020/4/1,R1F,NHS ENGLAND SOUTH EAST,ISLE OF WIGHT NHS TRUST,1557,0,652
2020/4/1,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0
2020/4/1,NJS05,NHS ENGLAND MIDLANDS,LOUGHBOROUGH URGENT CARE CENTRE,0,0,2079
2020/4/1,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,7927,0,4197
2020/4/1,RHM,NHS ENGLAND SOUTH EAST,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,5112,623,0
2020/4/1,RWD,NHS ENGLAND MIDLANDS,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,6807,0,2230
2020/4/1,REP,NHS ENGLAND NORTH WEST,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1157,0
2020/4/1,RJE,NHS ENGLAND MIDLANDS,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,6903,266,3822
2020/4/1,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,6476,0,0
2020/4/1,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,7479,0,2632
2020/4/1,RWH,NHS ENGLAND EAST OF ENGLAND,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4648,0,2580
2020/4/1,RWE,NHS ENGLAND MIDLANDS,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,8248,970,0
2020/4/1,RY5,NHS ENGLAND MIDLANDS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,2348
2020/4/1,AC008,NHS ENGLAND NORTH WEST,ROSSENDALE MINOR INJURIES UNIT,0,0,394
2020/4/1,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,3394,0
2020/4/1,RGR,NHS ENGLAND EAST OF ENGLAND,WEST SUFFOLK NHS FOUNDATION TRUST,3423,0,119
2020/4/1,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,7125,0,4023
2020/4/1,RM1,NHS ENGLAND EAST OF ENGLAND,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6275,0,1592
2020/4/1,RC9,NHS ENGLAND EAST OF ENGLAND,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,8028,0,1379
2020/4/1,RY9,NHS ENGLAND LONDON,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0,0,1025
2020/4/1,RXR,NHS ENGLAND NORTH WEST,EAST LANCASHIRE HOSPITALS NHS TRUST,5873,0,2082
2020/4/1,RDR,NHS ENGLAND SOUTH EAST,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,3720
2020/4/1,RL1,NHS ENGLAND MIDLANDS,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0
2020/4/1,RQ3,NHS ENGLAND MIDLANDS,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,2263,0,0
2020/4/1,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,6779,0,2208
2020/4/1,R0A,NHS ENGLAND NORTH WEST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,11029,1363,1784
2020/4/1,RTQ,NHS ENGLAND SOUTH WEST,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,1638
2020/4/1,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,5033,0,1523
2020/4/1,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE,AIREDALE NHS FOUNDATION TRUST,2953,182,7
2020/4/1,NNF76,NHS ENGLAND NORTH EAST AND YORKSHIRE,THE WILBERFORCE HEALTH CENTRE,0,0,806
2020/4/1,RHW,NHS ENGLAND SOUTH EAST,ROYAL BERKSHIRE NHS FOUNDATION TRUST,5094,881,0
2020/4/1,NDA57,NHS ENGLAND SOUTH EAST,HASLEMERE MINOR INJURIES UNIT,0,0,525
2020/4/1,RDE,NHS ENGLAND EAST OF ENGLAND,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,7282,0,1921
2020/4/1,RYG,NHS ENGLAND MIDLANDS,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0
2020/4/1,RNZ,NHS ENGLAND SOUTH WEST,SALISBURY NHS FOUNDATION TRUST,2470,97,572
2020/4/1,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE,LEEDS TEACHING HOSPITALS NHS TRUST,8554,0,1894
2020/4/1,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,11732,333,4181
2020/4/1,RGT,NHS ENGLAND EAST OF ENGLAND,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5045,0,1084
2020/4/1,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE,BRANSHOLME HEALTH CENTRE,0,0,974
2020/4/1,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",7587,243,3451
2020/4/1,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,5661,164,1780
2020/4/1,RK5,NHS ENGLAND MIDLANDS,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,4921,0,1727
2020/4/1,RA7,NHS ENGLAND SOUTH WEST,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,6539,975,0
2020/4/1,RTX,NHS ENGLAND NORTH WEST,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,3719,18,735
2020/4/1,RTG,NHS ENGLAND MIDLANDS,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,9703,0,3290
2020/4/1,RXH,NHS ENGLAND SOUTH EAST,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,7795,633,0
2020/4/1,RBN,NHS ENGLAND NORTH WEST,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,5547,0,1622
2020/4/1,RCX,NHS ENGLAND EAST OF ENGLAND,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",3527,0,0
2020/4/1,RNS,NHS ENGLAND MIDLANDS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,4399,337,704
2020/4/1,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,7727,716,2037
2020/4/1,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,4028,0,0
2020/4/1,RBD,NHS ENGLAND SOUTH WEST,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,2218,0,1247
2020/4/1,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,7062,0,0
2020/4/1,RVV,NHS ENGLAND SOUTH EAST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,8855,0,1370
2020/4/1,RW6,NHS ENGLAND NORTH WEST,PENNINE ACUTE HOSPITALS NHS TRUST,13015,0,1916
2020/4/1,RBL,NHS ENGLAND NORTH WEST,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,4311,0,499
2020/4/1,NNJ0H,NHS ENGLAND MIDLANDS,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,904
2020/4/1,RQW,NHS ENGLAND EAST OF ENGLAND,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,4484,0,0
2020/4/1,RM3,NHS ENGLAND NORTH WEST,SALFORD ROYAL NHS FOUNDATION TRUST,4612,0,218
2020/4/1,RAP,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,6441,174,733
2020/4/1,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,2242,0,3573
2020/4/1,NNJ14,NHS ENGLAND MIDLANDS,OADBY,0,0,500
2020/4/1,RJ8,NHS ENGLAND SOUTH WEST,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0
2020/4/1,RD3,NHS ENGLAND SOUTH WEST,POOLE HOSPITAL NHS FOUNDATION TRUST,2959,0,630
2020/4/1,RD1,NHS ENGLAND SOUTH WEST,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,3093,0,299
2020/4/1,RXN,NHS ENGLAND NORTH WEST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,3084,0,3781
2020/4/1,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE,GOOLE & DISTRICT HOSPITAL,0,0,456
2020/4/1,RKB,NHS ENGLAND MIDLANDS,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,3645,613,2768
2020/4/1,RA2,NHS ENGLAND SOUTH EAST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,3068,0,0
2020/4/1,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE,EAST RIDING COMMUNITY HOSPITAL,0,0,836
2020/4/1,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,5762,1393,1921
2020/4/1,NNJ,NHS ENGLAND MIDLANDS,DHU HEALTH CARE C.I.C,0,0,182
2020/4/1,RWJ,NHS ENGLAND NORTH WEST,STOCKPORT NHS FOUNDATION TRUST,4780,0,0
2020/4/1,RX1,NHS ENGLAND MIDLANDS,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,8393,712,79
2020/4/1,RAJ,NHS ENGLAND EAST OF ENGLAND,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,14723,0,766
2020/4/1,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,5673,0,1840
2020/4/1,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,6036,79,258
2020/4/1,RN3,NHS ENGLAND SOUTH WEST,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,3726,0,1317
2020/4/1,RD8,NHS ENGLAND EAST OF ENGLAND,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,3616,0,1273
2020/4/1,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,5167,292,621
2020/4/1,RWG,NHS ENGLAND EAST OF ENGLAND,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,4964,0,1655
2020/4/1,RA9,NHS ENGLAND SOUTH WEST,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,3409,0,979
2020/4/1,RK9,NHS ENGLAND SOUTH WEST,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,5332,32,1327
2020/4/1,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,3752,0,470
2020/4/1,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,990
2020/4/1,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,6005,0,11
2020/4/1,RMC,NHS ENGLAND NORTH WEST,BOLTON NHS FOUNDATION TRUST,5758,0,2
2020/4/1,Y02816,NHS ENGLAND SOUTH EAST,EASTBOURNE STATION HEALTH CENTRE,0,0,490
2020/4/1,RWX,NHS ENGLAND SOUTH EAST,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1068
2020/4/1,RWF,NHS ENGLAND SOUTH EAST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,6790,0,1089
2020/4/1,Y03051,NHS ENGLAND SOUTH EAST,HASTINGS MED P & WALKIN,0,0,233
2020/4/1,RDU,NHS ENGLAND SOUTH EAST,FRIMLEY HEALTH NHS FOUNDATION TRUST,10014,0,0
2020/4/1,NYM13,NHS ENGLAND LONDON,HHCIC EAST WIC,0,0,1
2020/4/1,8J094,NHS ENGLAND MIDLANDS,BADGER LTD,0,0,58
2020/4/1,NLX24,NHS ENGLAND SOUTH WEST,YATE WEST GATE CENTRE,0,0,1107
2020/4/1,NLX,NHS ENGLAND SOUTH WEST,SIRONA CARE & HEALTH,0,0,2311
2020/4/1,RTV,NHS ENGLAND NORTH WEST,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,0,0,2360
2020/4/1,RTE,NHS ENGLAND SOUTH WEST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,7127,0,0
2020/4/1,Y03007,NHS ENGLAND MIDLANDS,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0
2020/4/1,REM,NHS ENGLAND NORTH WEST,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9731,36,2296
2020/4/1,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,9699,0,1112
2020/4/1,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,6353,0,4636
2020/4/1,RH5,NHS ENGLAND SOUTH WEST,SOMERSET NHS FOUNDATION TRUST,3414,0,1063
2020/4/1,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE,MID YORKSHIRE HOSPITALS NHS TRUST,8561,0,1417
2020/4/1,RXC,NHS ENGLAND SOUTH EAST,EAST SUSSEX HEALTHCARE NHS TRUST,5149,0,1121
